symbol	kind	version	status	capability
pthread_cond_broadcast	FUNC	LIBC	unsupported	condition-variable-owner
pthread_cond_destroy	FUNC	LIBC	unsupported	condition-variable-owner
pthread_cond_signal	FUNC	LIBC	unsupported	condition-variable-owner
pthread_cond_timedwait	FUNC	LIBC	unsupported	condition-variable-clock
pthread_cond_wait	FUNC	LIBC	unsupported	condition-variable-owner
pthread_detach	FUNC	LIBC	unsupported	thread-lifecycle
pthread_getspecific	FUNC	LIBC	supported	tls-key
pthread_join	FUNC	LIBC	unsupported	thread-lifecycle
pthread_key_create	FUNC	LIBC	supported	tls-key
pthread_key_delete	FUNC	LIBC	supported	tls-key
pthread_mutex_destroy	FUNC	LIBC	supported	private-normal-mutex
pthread_mutex_init	FUNC	LIBC	supported	private-normal-mutex
pthread_mutex_lock	FUNC	LIBC	supported	private-normal-mutex
pthread_mutex_trylock	FUNC	LIBC	supported	private-normal-mutex
pthread_mutex_unlock	FUNC	LIBC	supported	private-normal-mutex
pthread_mutexattr_destroy	FUNC	LIBC	unsupported	mutex-attributes
pthread_mutexattr_init	FUNC	LIBC	unsupported	mutex-attributes
pthread_mutexattr_settype	FUNC	LIBC	unsupported	recursive-errorcheck
pthread_once	FUNC	LIBC	supported	private-once
pthread_rwlock_rdlock	FUNC	LIBC	unsupported	rwlock-owner
pthread_rwlock_unlock	FUNC	LIBC	unsupported	rwlock-owner
pthread_rwlock_wrlock	FUNC	LIBC	unsupported	rwlock-owner
pthread_self	FUNC	LIBC	supported	thread-identity-token
pthread_setspecific	FUNC	LIBC	supported	tls-key
