E2BIG	7	7
EACCES	13	13
EADDRINUSE	48	98
EADDRNOTAVAIL	49	99
EAFNOSUPPORT	47	97
EAGAIN	35	11
EALREADY	37	114
EBADF	9	9
EBADMSG	94	74
EBUSY	16	16
ECANCELED	89	125
ECHILD	10	10
ECONNABORTED	53	103
ECONNREFUSED	61	111
ECONNRESET	54	104
EDEADLK	11	35
EDESTADDRREQ	39	89
EDOM	33	33
EDQUOT	69	122
EEXIST	17	17
EFAULT	14	14
EFBIG	27	27
EHOSTUNREACH	65	113
EIDRM	90	43
EILSEQ	92	84
EINPROGRESS	36	115
EINTR	4	4
EINVAL	22	22
EIO	5	5
EISCONN	56	106
EISDIR	21	21
ELOOP	62	40
EMFILE	24	24
EMLINK	31	31
EMSGSIZE	40	90
EMULTIHOP	95	72
ENAMETOOLONG	63	36
ENETDOWN	50	100
ENETRESET	52	102
ENETUNREACH	51	101
ENFILE	23	23
ENOBUFS	55	105
ENODATA	96	61
ENODEV	19	19
ENOENT	2	2
ENOEXEC	8	8
ENOLCK	77	37
ENOLINK	97	67
ENOMEM	12	12
ENOMSG	91	42
ENOPROTOOPT	42	92
ENOSPC	28	28
ENOSR	98	63
ENOSTR	99	60
ENOSYS	78	38
ENOTCONN	57	107
ENOTDIR	20	20
ENOTEMPTY	66	39
ENOTSOCK	38	88
ENOTSUP	45	95
ENOTTY	25	25
ENXIO	6	6
EOPNOTSUPP	102	95
EOVERFLOW	84	75
EPERM	1	1
EPIPE	32	32
EPROTO	100	71
EPROTONOSUPPORT	43	93
EPROTOTYPE	41	91
ERANGE	34	34
EROFS	30	30
ESPIPE	29	29
ESRCH	3	3
ESTALE	70	116
ETIME	101	62
ETIMEDOUT	60	110
ETXTBSY	26	26
EUSERS	68	87
EXDEV	18	18
