path	size	sha256
libc/Android.bp	88904	78a169fa5535205a29f5b0e8ea33496cc53394a61af7de7d2a51cf4e4bc699de
libc/bionic/stdlib_l.cpp	2176	7399803737fc7c004f4af3a12be5d77a3c52846b3a8519a172fa275cfea857a6
libc/bionic/strtold.cpp	1764	1d9136287ec5f137411e1acf45712be1c1394dc728516c85d60b49d8ffafec1a
libc/private/thread_private.h	1269	081be7addc3978ff259a90b9bc30be387efd5f0dc36a3341b6a8de57e21cdfe7
libc/upstream-openbsd/android/gdtoa_support.cpp	750	8a10d41b5939ca196333097da8683b4fa225ff681cd5fe8ea3747b8bc2d28793
libc/upstream-openbsd/android/include/arith.h	747	ab94601187dca2b144fcc17e2768c670fc99969c5519ff6e05336c11111b3d25
libc/upstream-openbsd/android/include/gd_qnan.h	1041	3f0f669b63120cd951bed3ce618fb055684359a472fdde61a54778a823097a41
libc/upstream-openbsd/lib/libc/gdtoa/gdtoa.h	5459	7368ce941c118180fc14e698e17d66ad47a52abb80d19d1fadf02afcdf26eca4
libc/upstream-openbsd/lib/libc/gdtoa/gdtoaimp.h	21102	52dd8c7aab3fb314b2bb63cbcf10a40d18d293beb5e45e29a53d592bc4aab2d4
libc/upstream-openbsd/lib/libc/gdtoa/dmisc.c	4822	e537fa002dd83361e60a35a48f62c30d691bc09bd5f08672f8602ee9a7d2daf3
libc/upstream-openbsd/lib/libc/gdtoa/gethex.c	7247	fb2b02844289f804e202826919119f48c10a25df2b268b8b0bf2ad47b5be69b2
libc/upstream-openbsd/lib/libc/gdtoa/gmisc.c	2084	39a52bd7651ae5281bc9a1e7b3d2a81f51ade634593772cd7f9237d6057902d8
libc/upstream-openbsd/lib/libc/gdtoa/hexnan.c	3470	982f08614289beaa17172cb1ae85d2a95035bbbcdbb73817eb7896da16eda2dd
libc/upstream-openbsd/lib/libc/gdtoa/hd_init.c	1799	5d787a46e06719178356de20ccc4e9f65961e723351b5c8a43a63b95832c7247
libc/upstream-openbsd/lib/libc/gdtoa/misc.c	15032	d46dbbca1d088d227a1b4a60dfd8fbf3ba09856ab9b976a5a8f4d49d0d323a98
libc/upstream-openbsd/lib/libc/gdtoa/smisc.c	3850	0f1a095daf34407d8b2ef5b55d6e25c49f896b9a64d6e2fc32ecf5e0e1b0d371
libc/upstream-openbsd/lib/libc/gdtoa/strtod.c	23226	2040fe285e8cfe163ea3698691a77d6982d8b21bbbc3533e19dac3959368e148
libc/upstream-openbsd/lib/libc/gdtoa/strtodg.c	23022	ff64601a4b23fefdf5459f72195616935c742c21d47bcdbcffb0a3b104c3f30a
libc/upstream-openbsd/lib/libc/gdtoa/strtof.c	2244	176000d0ff3812e3cf62c132b9d20e654b70f66ba2cdd8995d3bf8f0fec8a919
libc/upstream-openbsd/lib/libc/gdtoa/strtord.c	2554	2750fa3bff541ff0d8ed13f9a6099acc6c3f89a20e9f87fab53216197acceaf3
libc/upstream-openbsd/lib/libc/gdtoa/sum.c	2564	cdc1aed326017dbbaa84f0476e48035efd8355d8bfbdb2c45599132a882ef6c1
libc/upstream-openbsd/lib/libc/gdtoa/ulp.c	1866	69e25108aa7c6d0c8ff0a63da291cc83fa4c25b60bc65b8d6ff82e9e3b2132e1
tests/stdlib_test.cpp	29664	b2fea72a3961cc73a7afc1a0b3a930b0c7f762b1366555f5dfb00555ca91e863
