symbol	android_signature	pcs	capability
chdir	int(const-char*)	direct-register-only	process-wide-virtual-cwd
close	int(int)	direct-register-only	virtual-fd-only
closedir	int(DIR*)	direct-register-only	facade-token-only
fstat	int(int,struct-stat*)	direct-register-only	translated-android-stat
getcwd	char*(char*,size_t)	direct-register-only	caller-buffer-only
lstat	int(const-char*,struct-stat*)	direct-register-only	non-symlink-only
open	int(const-char*,int,...)	direct-fixed-registers	read-only-no-vararg-consumption
openat	int(int,const-char*,int,...)	direct-fixed-registers	AT_FDCWD-only
opendir	DIR*(const-char*)	direct-register-only	facade-token-only
read	ssize_t(int,void*,size_t)	direct-register-only	virtual-fd-only
readdir	struct-dirent*(DIR*)	direct-register-only	translated-android-dirent
readlink	ssize_t(const-char*,char*,size_t)	direct-register-only	EINVAL-nonlink-final-link-EOPNOTSUPP
stat	int(const-char*,struct-stat*)	direct-register-only	translated-android-stat
