android_name	android_value	darwin_semantic
_PC_FILESIZEBITS	0	_PC_FILESIZEBITS
_PC_LINK_MAX	1	_PC_LINK_MAX
_PC_MAX_CANON	2	_PC_MAX_CANON
_PC_MAX_INPUT	3	_PC_MAX_INPUT
_PC_NAME_MAX	4	_PC_NAME_MAX
_PC_PATH_MAX	5	_PC_PATH_MAX
_PC_PIPE_BUF	6	_PC_PIPE_BUF
_PC_2_SYMLINKS	7	_PC_2_SYMLINKS
_PC_ALLOC_SIZE_MIN	8	_PC_ALLOC_SIZE_MIN
_PC_REC_INCR_XFER_SIZE	9	_PC_REC_INCR_XFER_SIZE
_PC_REC_MAX_XFER_SIZE	10	_PC_REC_MAX_XFER_SIZE
_PC_REC_MIN_XFER_SIZE	11	_PC_REC_MIN_XFER_SIZE
_PC_REC_XFER_ALIGN	12	_PC_REC_XFER_ALIGN
_PC_SYMLINK_MAX	13	_PC_SYMLINK_MAX
_PC_CHOWN_RESTRICTED	14	_PC_CHOWN_RESTRICTED
_PC_NO_TRUNC	15	_PC_NO_TRUNC
_PC_VDISABLE	16	_PC_VDISABLE
_PC_ASYNC_IO	17	_PC_ASYNC_IO
_PC_PRIO_IO	18	_PC_PRIO_IO
_PC_SYNC_IO	19	_PC_SYNC_IO
