property	android16-source-contract
caller-address	dlopen dlsym and android_dlopen_ext capture return address for namespace scope
dlerror	thread-local 512-byte pending error replaced on failure consumed once success does not clear
flags	LAZY=1 NOW=2 NOLOAD=4 GLOBAL=0x100 NODELETE=0x1000 unknown bits rejected
dlext	valid mask 0x67f and only fields selected by flags may be read
graph	DT_NEEDED breadth-first map prelink relocate complete graph before publication
constructors	once guard before call dependency-first then DT_INIT and DT_INIT_ARRAY forward
refcount	every successful duplicate open increments local-group-root reference
destructors	dependents-first then DT_FINI_ARRAY reverse and DT_FINI before unmap
tls-dtor	registered thread-local destructors retain DSO reference until removal
symbol-scope	explicit handle searches root dependency BFS in caller primary namespace
art-load	NativeLoaderNamespace uses RTLD_NOW plus ANDROID_DLEXT_USE_NAMESPACE
