capability	policy
filename	exact sibling SONAME component only
flags	RTLD_NOW|RTLD_LOCAL only
android_dlopen_ext	null extinfo only; nonnull fails closed
namespace	one caller ClassLoader namespace; no RTLD_DEFAULT/NEXT
lookup	exact exported symbol on exact live handle
handle	same SONAME returns same token and increments refcount
close	last reference drains active lookup leases then finalizes
error	thread-local pending error consumed once by dlerror
fallback	no dyld global namespace or alternate path search
failure	private load rolls back without publishing handle
