project	tag	revision	path	bytes	sha256
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	linker/dlfcn.cpp	14588	ca86981c9a4d8893e21845cd54c5f884f9f0cac2db5413d713fb12afe75acd7c
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	linker/linker.cpp	129771	fcdc080bf5666d396a2928390cf35f067cff25a3ba04485032a085f90316562f
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	linker/linker_soinfo.cpp	25814	cab308b5cf1de18df5d23cfa84fd23b2600495df7eb58ef0f03e45f9b857c20d
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	linker/linker_soinfo.h	15713	10b2fac3206a5098d7fd1841950e7f27d5758d3578b55ec67133f46a2c1195c2
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libdl/libdl.cpp	5449	57a9079aa63c342ef8061c51b3c92291ee5f9612c668fbd821f0fe56cad2f82d
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libc/include/android/dlext.h	7077	c0d77220f274ea57f414f6b5add3a63ee705a5102a96cdaa2e41c4ed5fc62959
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libc/include/dlfcn.h	8537	134558a19eaed3763c7f2b304b91637f67820363569571da67c3ac257f338d90
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libc/bionic/pthread_internal.h	10935	453a4e9d7584361f16352fdbf840d029c2c96a22a5d4364549b2e40d7a72bee9
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libc/arch-common/bionic/crtbegin_so.c	2936	7339e128550f8f90a254fef776c8a23b96a13190e93981cb20a588a2e6342bf3
platform/bionic	android-16.0.0_r1	09a271af557444c9a6b3f3146d6d474156fd6cdb	libc/bionic/atexit.cpp	9208	f03ce36e31a679f4b5bf38eec188502514bcf48b0343ae3aa64a50e2d66733cf
platform/art	android-16.0.0_r1	ed6c006bd06ae060bd9698fd2cb25c4865512ec3	runtime/jni/java_vm_ext.cc	47796	9df185cc3b9dca4a41ed7b5a6e8c1efbfd3abb8d5329cd458ee4a660e90acb3f
platform/art	android-16.0.0_r1	ed6c006bd06ae060bd9698fd2cb25c4865512ec3	libnativeloader/native_loader.cpp	23028	cb7e74e163427c8a04c6113d7f3c53dc2b789befbfbcd19ffdea57da5c6da01d
platform/art	android-16.0.0_r1	ed6c006bd06ae060bd9698fd2cb25c4865512ec3	libnativeloader/native_loader_namespace.cpp	6608	fd9826e8c5c67f512b95466f9c0c955458f37c5f72210e7ecf2b6f4cda29a191
platform/art	android-16.0.0_r1	ed6c006bd06ae060bd9698fd2cb25c4865512ec3	libnativebridge/native_bridge.cc	26029	2cf281c38fb09fa24bfa2a58fa38114adb00bf8059d00e03e559c043593efcef
