symbol	kind	category	rationale
__ctype_get_mb_cur_max	FUNC	C	locale-owned-state
__cxa_atexit	FUNC	D	loader-lifecycle
__cxa_finalize	FUNC	D	loader-lifecycle
__errno	FUNC	B	bionic-errno-tls
__sF	OBJECT	C	bionic-FILE-global-state
__system_property_get	FUNC	D	android-property-service
abort	FUNC	D	bionic-abort-signal-state
android_set_abort_message	FUNC	D	android-crash-runtime
btowc	FUNC	C	locale-multibyte-state
chdir	FUNC	B	path-errno-wrapper
clock_gettime	FUNC	B	clock-ids-timespec-errno
close	FUNC	B	fd-errno-wrapper
closedir	FUNC	B	DIR-layout-state
closelog	FUNC	C	syslog-global-state
dl_iterate_phdr	FUNC	D	ELF-loader-owned
fchmod	FUNC	B	mode-errno-wrapper
fchmodat	FUNC	B	at-flags-mode-errno
fclose	FUNC	B	FILE-layout-state
fdopendir	FUNC	B	DIR-layout-fd-ownership
fflush	FUNC	B	FILE-layout-state
fileno	FUNC	B	FILE-layout-state
fopen	FUNC	B	FILE-layout-path-errno
fprintf	FUNC	B	FILE-layout-varargs
fputc	FUNC	B	FILE-layout-state
fputwc	FUNC	B	FILE-layout-wide-state
fread	FUNC	B	FILE-layout-state
free	FUNC	C	allocator-owned-state
freelocale	FUNC	C	locale-owned-state
fseek	FUNC	B	FILE-layout-off_t
fseeko	FUNC	B	FILE-layout-off_t
fstat	FUNC	B	stat-layout-errno
ftello	FUNC	B	FILE-layout-off_t
ftruncate	FUNC	B	off_t-errno-wrapper
fwrite	FUNC	B	FILE-layout-state
getauxval	FUNC	D	ELF-auxv-kernel-contract
getc	FUNC	B	FILE-layout-state
getcwd	FUNC	B	path-errno-wrapper
getenv	FUNC	C	process-environment-state
getwc	FUNC	B	FILE-layout-wide-state
ioctl	FUNC	B	linux-request-constants-varargs
isatty	FUNC	B	fd-errno-semantics
iswalpha_l	FUNC	C	locale-owned-state
iswblank_l	FUNC	C	locale-owned-state
iswcntrl_l	FUNC	C	locale-owned-state
iswdigit_l	FUNC	C	locale-owned-state
iswlower_l	FUNC	C	locale-owned-state
iswprint_l	FUNC	C	locale-owned-state
iswpunct_l	FUNC	C	locale-owned-state
iswspace_l	FUNC	C	locale-owned-state
iswupper_l	FUNC	C	locale-owned-state
iswxdigit_l	FUNC	C	locale-owned-state
link	FUNC	B	path-errno-wrapper
localeconv	FUNC	C	locale-owned-struct-state
lstat	FUNC	B	stat-layout-path-errno
malloc	FUNC	C	allocator-owned-state
mbrlen	FUNC	C	locale-mbstate-layout
mbrtowc	FUNC	C	locale-mbstate-layout
mbsnrtowcs	FUNC	C	locale-mbstate-layout
mbsrtowcs	FUNC	C	locale-mbstate-layout
mbtowc	FUNC	C	locale-global-conversion-state
memchr	FUNC	A	byte-leaf
memcmp	FUNC	A	byte-leaf
memcpy	FUNC	A	byte-leaf
memmove	FUNC	A	byte-leaf
memset	FUNC	A	byte-leaf
mkdir	FUNC	B	mode-path-errno
nanosleep	FUNC	B	timespec-errno-wrapper
newlocale	FUNC	C	locale-owned-state
open	FUNC	B	linux-flags-mode-varargs-errno
openat	FUNC	B	linux-dirfd-flags-mode-errno
opendir	FUNC	B	DIR-layout-path-errno
openlog	FUNC	C	syslog-global-state
pathconf	FUNC	B	linux-name-constants-errno
posix_memalign	FUNC	C	allocator-owned-state
pthread_cond_broadcast	FUNC	C	pthread-object-layout-state
pthread_cond_destroy	FUNC	C	pthread-object-layout-state
pthread_cond_signal	FUNC	C	pthread-object-layout-state
pthread_cond_timedwait	FUNC	C	pthread-layout-clock-state
pthread_cond_wait	FUNC	C	pthread-object-layout-state
pthread_detach	FUNC	C	pthread-identity-state
pthread_getspecific	FUNC	C	pthread-TLS-state
pthread_join	FUNC	C	pthread-identity-state
pthread_key_create	FUNC	C	pthread-TLS-state
