symbol	kind	version	owner	reason
isalnum	FUNC	LIBC	C-byte-classification	public-bionic-non-locale-entry
isalpha	FUNC	LIBC	C-byte-classification	public-bionic-non-locale-entry
islower	FUNC	LIBC	C-byte-classification	public-bionic-non-locale-entry
isupper	FUNC	LIBC	C-byte-classification	public-bionic-non-locale-entry
isxdigit	FUNC	LIBC	C-byte-classification	public-bionic-non-locale-entry
iswalpha	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswblank	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswcntrl	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswdigit	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswlower	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswprint	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswpunct	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswupper	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
iswxdigit	FUNC	LIBC	Android-ICU76-Unicode-property	public-bionic-non-locale-entry
towupper	FUNC	LIBC	Android-ICU76-Unicode-mapping	public-bionic-non-locale-entry
tolower	FUNC	LIBC	C-byte-mapping	public-bionic-non-locale-entry
toupper	FUNC	LIBC	C-byte-mapping	public-bionic-non-locale-entry
wcscoll	FUNC	LIBC	C-collation	public-bionic-non-locale-entry
wcsxfrm	FUNC	LIBC	C-collation	public-bionic-non-locale-entry
strxfrm	FUNC	LIBC	C-collation	public-bionic-non-locale-entry
