symbol	class	status	owner
__ctype_get_mb_cur_max	C	supported	locale-state
btowc	C	supported	utf8-multibyte
freelocale	C	supported	locale-state
iswalpha_l	C	unsupported	Android-ICU-Unicode-property
iswblank_l	C	unsupported	Android-ICU-Unicode-property
iswcntrl_l	C	unsupported	Android-ICU-Unicode-property
iswdigit_l	C	unsupported	Android-ICU-Unicode-property
iswlower_l	C	unsupported	Android-ICU-Unicode-property
iswprint_l	C	unsupported	Android-ICU-Unicode-property
iswpunct_l	C	unsupported	Android-ICU-Unicode-property
iswspace_l	C	unsupported	Android-ICU-Unicode-property
iswupper_l	C	unsupported	Android-ICU-Unicode-property
iswxdigit_l	C	unsupported	Android-ICU-Unicode-property
localeconv	C	supported	locale-state
mbrlen	C	supported	utf8-multibyte
mbrtowc	C	supported	utf8-multibyte
mbsnrtowcs	C	supported	utf8-multibyte
mbsrtowcs	C	supported	utf8-multibyte
mbtowc	C	supported	utf8-multibyte
newlocale	C	supported	locale-state
setlocale	C	supported	locale-state
strcoll_l	C	supported	C-collation
strftime_l	C	unsupported	tzcode-time-owner
strxfrm_l	C	supported	C-collation
towlower_l	C	unsupported	Android-ICU-Unicode-mapping
towupper_l	C	unsupported	Android-ICU-Unicode-mapping
uselocale	C	supported	locale-thread-state
wcrtomb	C	supported	utf8-multibyte
wcscoll_l	C	supported	C-collation
wcsnrtombs	C	supported	utf8-multibyte
wcsxfrm_l	C	supported	C-collation
wctob	C	supported	utf8-multibyte
