path	size	sha256
libc/bionic/locale.cpp	6203	6ffba03944fd9b27cee0113252935558223bed257387a788cba2fde777124eed
libc/bionic/wchar.cpp	7159	642555658b92bc9ed25287a609b9952839eb42f6eba7ff56649abf8ca5999aef
libc/bionic/mbrtoc32.cpp	5455	96d520b284fc3fc93e01a380a827dea920db328f0b4c664f7485fd5255a70b52
libc/bionic/c32rtomb.cpp	3304	faebfcc29bc4a2101c033cb8c8c792dec65db21c260fca07dba07b9db40fe6c3
libc/bionic/wctype.cpp	6581	a0b0a5ca45211805492db8c0626aad51dbd5697e3cc1b21e70464a58f49e79dc
libc/bionic/string_l.cpp	1697	1ca9d44f6eceec4ea52b614eb8e1cffc1c33ace34a3cba83edaddafc3f992eaf
libc/bionic/wchar_l.cpp	2641	e8774b9387f1d32d6602bc1c994b5ebb066e62eb28bd9dcb669a4f2329dc6e02
libc/tzcode/strftime.c	26536	74f31a121aa8bcff9d09655d3f160bc2195cb5ebe563dda390cab1be62dafbde
libc/upstream-openbsd/lib/libc/locale/btowc.c	1874	ed850c8fdbf6f8d9f8afd7cd7a5910462ed4eaa63783db40959dcaef3a48511d
libc/upstream-openbsd/lib/libc/locale/mbrlen.c	1641	02ad7e109eaadf737cd1e9f467d5bcb287b4c62eb359dca5062f409dc91d860c
libc/upstream-openbsd/lib/libc/locale/mbtowc.c	1915	fbddd2a5a4095b40ac80f3997414e89617399f25dfcd089b3abe84e81b87b399
libc/upstream-openbsd/lib/libc/locale/wctob.c	1714	23194fd71540be55481f1d69f49eac13bce8688950eaaa1e41852cd9242c7565
libc/upstream-openbsd/lib/libc/string/strcoll.c	1987	627aaafe64af591049d21aa8084bea3a48dd7a7f0f01a08ba35fc3585e2ec6b9
libc/upstream-openbsd/lib/libc/string/strxfrm.c	2151	851c5debe2c2e52cb8a8868aa5c38f44e01a01bc450cd747664f5048415096f7
libc/upstream-openbsd/lib/libc/locale/wcscoll.c	1716	cd0071eba7c870564b0802a6eee7e525a53a142eda8c45a49bca89d5c31e305a
libc/upstream-openbsd/lib/libc/locale/wcsxfrm.c	1894	600a67b9dc3cac860c3f5638344011896a5d18b701a7ce5cd1a2b814c14eea33
libc/upstream-openbsd/lib/libc/string/wcslcpy.c	1621	31c6e0f1488025f6f61d361933da36f4ed96371a2c366b02f26a1494ce9645a0
libc/private/bionic_mbstate.h	2658	c2ef9bbac7e29ff155242fa15fa3f4dc3fa86621b93a4c00d94520ff579bc1bb
libc/include/bits/mbstate_t.h	1743	03499ede9f9ca9eb1338ab9702219b721a6f0e5e1647383762d4c1c3d51cc90f
libc/include/locale.h	3972	fa3096e8941e13b1ca81773926a7a2f4349153d41fca06c668feac3f33418a90
libc/include/wchar.h	9771	464b84edb6afb6a605825616d42255e2257abf1c54343dc9787783018affb8b5
