order	phase	invariant
1	create-broker	no guest descriptor exists
2	install-socket-owner	owner callback table immutable
3	activate-dns-owner	no retired result graph exists
4	seal-exact-routes	libc.so/LIBC only and no dyld fallback
5	load-android-dso	constructors and JNI_OnLoad may resolve providers
6	run-registered-native	loopback only and provider calls admitted
7	unload-android-dso	JNI_OnUnload and finalizers retain provider access
8	stop-route-admission	new resolver and operation admission rejected
9	drain-inflight	all broker and DNS leases quiescent
10	reclaim-dns	live and retired result counts become zero
11	uninstall-socket-owner	no live description or active callback
12	destroy-broker	owner table and descriptor namespace empty
