symbol	class	reason
abort	D	bionic-abort-signal-state
android_set_abort_message	D	android-crash-runtime
closelog	C	syslog-global-state
fchmod	B	mode-errno-wrapper
fchmodat	B	at-flags-mode-errno
fdopendir	B	DIR-layout-fd-ownership
fprintf	B	FILE-layout-varargs
fputwc	B	FILE-layout-wide-state
ftruncate	B	off_t-errno-wrapper
getwc	B	FILE-layout-wide-state
ioctl	B	linux-request-constants-varargs
isatty	B	fd-errno-semantics
link	B	path-errno-wrapper
mkdir	B	mode-path-errno
openlog	C	syslog-global-state
pathconf	B	linux-name-constants-errno
realpath	B	path-allocation-errno
remove	B	path-errno-wrapper
rename	B	path-errno-wrapper
sendfile	B	off_t-kernel-errno
snprintf	B	varargs-format-long-double
sscanf	B	varargs-format-long-double
statvfs	B	statvfs-layout-constants
strerror_r	B	errno-number-semantics
strftime_l	C	locale-owned-state
strtod	B	errno-locale-number-semantics
strtof	B	errno-locale-number-semantics
strtold	B	long-double-errno-locale
strtold_l	B	long-double-locale-handle-errno
swprintf	B	wide-varargs-long-double
symlink	B	path-errno-wrapper
syscall	D	linux-syscall-number-ABI
syslog	C	syslog-global-varargs-state
truncate	B	path-off_t-errno
ungetwc	B	FILE-layout-wide-state
unlinkat	B	linux-dirfd-flags-path-errno
utimensat	B	dirfd-timespec-flags-errno
vasprintf	B	va_list-allocator-format
vfprintf	B	FILE-layout-va_list-format
vsnprintf	B	va_list-format-long-double
vsscanf	B	va_list-format-long-double
wcstod	B	wide-locale-errno-number
wcstof	B	wide-locale-errno-number
wcstol	B	wide-locale-errno-integer
wcstold	B	wide-long-double-locale-errno
wcstoll	B	wide-locale-errno-integer
wcstoul	B	wide-locale-errno-integer
wcstoull	B	wide-locale-errno-integer
