symbol	soname	version	owner
accept4	libc.so	LIBC	bionic-socket-facade
bind	libc.so	LIBC	bionic-socket-facade
close	libc.so	LIBC	bionic-socket-facade-standalone-token-only
connect	libc.so	LIBC	bionic-socket-facade
getpeername	libc.so	LIBC	bionic-socket-facade
getsockname	libc.so	LIBC	bionic-socket-facade
getsockopt	libc.so	LIBC	bionic-socket-facade
listen	libc.so	LIBC	bionic-socket-facade
poll	libc.so	LIBC	bionic-socket-facade
ppoll	libc.so	LIBC	bionic-socket-facade-null-sigmask
recv	libc.so	LIBC	bionic-socket-facade
recvfrom	libc.so	LIBC	bionic-socket-facade
recvmsg	libc.so	LIBC	bionic-socket-facade-no-control
send	libc.so	LIBC	bionic-socket-facade
sendto	libc.so	LIBC	bionic-socket-facade
sendmsg	libc.so	LIBC	bionic-socket-facade-no-control
setsockopt	libc.so	LIBC	bionic-socket-facade
shutdown	libc.so	LIBC	bionic-socket-facade
socket	libc.so	LIBC	bionic-socket-facade
socketpair	libc.so	LIBC	bionic-socket-facade
