symbol	reason	failure
accept	accept4 is the single accepted entry; use flags=0	unresolved
getaddrinfo	DNS and hosts policy require a separate resolver owner	unresolved
freeaddrinfo	owned with getaddrinfo, not independently stubbed	unresolved
gai_strerror	owned with getaddrinfo, not independently stubbed	unresolved
poll-non-socket-fd	standalone poll owns only this provider's socket tokens	POLLNVAL
ppoll-nonnull-sigmask	atomic Android-to-Darwin signal-mask translation is not implemented	EOPNOTSUPP
select	must compose every virtual-FD owner before readiness is coherent	unresolved
pselect	requires select composition plus Android sigset translation	unresolved
sendmsg-control	ancillary/control messages including SCM_RIGHTS are closed	EOPNOTSUPP
recvmsg-control	ancillary/control messages including SCM_RIGHTS are closed	EOPNOTSUPP
AF_UNIX-address	Darwin sun_len/path width and abstract namespace need policy	EAFNOSUPPORT
unknown-message-flags	never forwarded to Darwin	EOPNOTSUPP
POLLRDHUP-POLLMSG-POLLREMOVE	Darwin has no exact standalone readiness-bit mapping	EINVAL
unknown-socket-option	never forwarded to Darwin	ENOPROTOOPT
