symbol	kind	libcxx_class	policy
__sF	OBJECT	C	three-guest-FILE-tokens
fclose	FUNC	B	supported
fflush	FUNC	B	supported
fileno	FUNC	B	provider-local-virtual-fd
fopen	FUNC	B	in-memory-byte-path
fputc	FUNC	B	supported
fread	FUNC	B	supported
fseek	FUNC	B	supported
fseeko	FUNC	B	supported
ftello	FUNC	B	supported
fwrite	FUNC	B	supported
getc	FUNC	B	supported
ungetc	FUNC	B	one-byte-pushback
fprintf	FUNC	B	rejected-varargs
vfprintf	FUNC	B	rejected-va-list
fputwc	FUNC	B	rejected-wide
getwc	FUNC	B	rejected-wide
ungetwc	FUNC	B	rejected-wide
