android_name	android_id	darwin_backend	policy
CLOCK_REALTIME	0	CLOCK_REALTIME(0)	supported-wall-clock
CLOCK_MONOTONIC	1	CLOCK_MONOTONIC(6)	supported-excludes-suspend
CLOCK_PROCESS_CPUTIME_ID	2	CLOCK_PROCESS_CPUTIME_ID(12)	supported-process-cpu
CLOCK_THREAD_CPUTIME_ID	3	CLOCK_THREAD_CPUTIME_ID(16)	supported-thread-cpu
CLOCK_MONOTONIC_RAW	4	none	EINVAL-unsupported
CLOCK_REALTIME_COARSE	5	none	EINVAL-unsupported
CLOCK_MONOTONIC_COARSE	6	none	EINVAL-unsupported
CLOCK_BOOTTIME	7	mach_continuous_time	supported-includes-suspend
CLOCK_REALTIME_ALARM	8	none	EINVAL-unsupported
CLOCK_BOOTTIME_ALARM	9	none	EINVAL-unsupported
CLOCK_SGI_CYCLE	10	none	EINVAL-unsupported
CLOCK_TAI	11	none	EINVAL-unsupported
