number	audit	status	name	source	line
0	AUE_NULL	UNIMPL	linux_io_setup	sys/arm64/linux/syscalls.master	15
1	AUE_NULL	UNIMPL	linux_io_destroy	sys/arm64/linux/syscalls.master	16
2	AUE_NULL	UNIMPL	linux_io_submit	sys/arm64/linux/syscalls.master	17
3	AUE_NULL	UNIMPL	linux_io_cancel	sys/arm64/linux/syscalls.master	18
4	AUE_NULL	UNIMPL	linux_io_getevents	sys/arm64/linux/syscalls.master	19
5	AUE_NULL	STD	linux_setxattr	sys/arm64/linux/syscalls.master	20
6	AUE_NULL	STD	linux_lsetxattr	sys/arm64/linux/syscalls.master	29
7	AUE_NULL	STD	linux_fsetxattr	sys/arm64/linux/syscalls.master	38
8	AUE_NULL	STD	linux_getxattr	sys/arm64/linux/syscalls.master	47
9	AUE_NULL	STD	linux_lgetxattr	sys/arm64/linux/syscalls.master	55
10	AUE_NULL	STD	linux_fgetxattr	sys/arm64/linux/syscalls.master	63
11	AUE_NULL	STD	linux_listxattr	sys/arm64/linux/syscalls.master	71
12	AUE_NULL	STD	linux_llistxattr	sys/arm64/linux/syscalls.master	78
13	AUE_NULL	STD	linux_flistxattr	sys/arm64/linux/syscalls.master	85
14	AUE_NULL	STD	linux_removexattr	sys/arm64/linux/syscalls.master	92
15	AUE_NULL	STD	linux_lremovexattr	sys/arm64/linux/syscalls.master	98
16	AUE_NULL	STD	linux_fremovexattr	sys/arm64/linux/syscalls.master	104
17	AUE_GETCWD	STD	linux_getcwd	sys/arm64/linux/syscalls.master	110
18	AUE_NULL	STD	linux_lookup_dcookie	sys/arm64/linux/syscalls.master	116
19	AUE_NULL	STD	linux_eventfd2	sys/arm64/linux/syscalls.master	119
20	AUE_NULL	STD	linux_epoll_create1	sys/arm64/linux/syscalls.master	125
21	AUE_NULL	STD	linux_epoll_ctl	sys/arm64/linux/syscalls.master	130
22	AUE_NULL	STD	linux_epoll_pwait	sys/arm64/linux/syscalls.master	138
23	AUE_DUP	NOPROTO	dup	sys/arm64/linux/syscalls.master	148
24	AUE_NULL	STD	linux_dup3	sys/arm64/linux/syscalls.master	153
25	AUE_FCNTL	STD	linux_fcntl	sys/arm64/linux/syscalls.master	160
26	AUE_NULL	STD	linux_inotify_init1	sys/arm64/linux/syscalls.master	167
27	AUE_NULL	STD	linux_inotify_add_watch	sys/arm64/linux/syscalls.master	172
28	AUE_NULL	STD	linux_inotify_rm_watch	sys/arm64/linux/syscalls.master	179
