domain	name	expression	value	source	line
errno	LINUX_E2BIG	7	7	sys/compat/linux/linux_errno.h	40
errno	LINUX_EACCES	13	13	sys/compat/linux/linux_errno.h	47
errno	LINUX_EADDRINUSE	98	98	sys/compat/linux/linux_errno.h	140
errno	LINUX_EADDRNOTAVAIL	99	99	sys/compat/linux/linux_errno.h	141
errno	LINUX_EADV	68	68	sys/compat/linux/linux_errno.h	107
errno	LINUX_EAFNOTSUPPORT	97	97	sys/compat/linux/linux_errno.h	139
errno	LINUX_EAGAIN	11	11	sys/compat/linux/linux_errno.h	45
errno	LINUX_EALREADY	114	114	sys/compat/linux/linux_errno.h	158
errno	LINUX_EBADE	52	52	sys/compat/linux/linux_errno.h	90
errno	LINUX_EBADF	9	9	sys/compat/linux/linux_errno.h	42
errno	LINUX_EBADFD	77	77	sys/compat/linux/linux_errno.h	117
errno	LINUX_EBADMSG	74	74	sys/compat/linux/linux_errno.h	114
errno	LINUX_EBADR	53	53	sys/compat/linux/linux_errno.h	91
errno	LINUX_EBADRQC	56	56	sys/compat/linux/linux_errno.h	94
errno	LINUX_EBADSLT	57	57	sys/compat/linux/linux_errno.h	95
errno	LINUX_EBFONT	59	59	sys/compat/linux/linux_errno.h	97
errno	LINUX_EBUSY	16	16	sys/compat/linux/linux_errno.h	50
errno	LINUX_ECANCELED	125	125	sys/compat/linux/linux_errno.h	170
errno	LINUX_ECHILD	10	10	sys/compat/linux/linux_errno.h	44
errno	LINUX_ECHRNG	44	44	sys/compat/linux/linux_errno.h	81
errno	LINUX_ECOMM	70	70	sys/compat/linux/linux_errno.h	110
errno	LINUX_ECONNABORTED	103	103	sys/compat/linux/linux_errno.h	146
errno	LINUX_ECONNREFUSED	111	111	sys/compat/linux/linux_errno.h	155
errno	LINUX_ECONNRESET	104	104	sys/compat/linux/linux_errno.h	147
errno	LINUX_EDEADLK	35	35	sys/compat/linux/linux_errno.h	71
errno	LINUX_EDESTADDRREQ	89	89	sys/compat/linux/linux_errno.h	130
errno	LINUX_EDOM	33	33	sys/compat/linux/linux_errno.h	69
errno	LINUX_EDOTDOT	73	73	sys/compat/linux/linux_errno.h	113
errno	LINUX_EDQUOT	122	122	sys/compat/linux/linux_errno.h	167
errno	LINUX_EEXIST	17	17	sys/compat/linux/linux_errno.h	51
errno	LINUX_EFAULT	14	14	sys/compat/linux/linux_errno.h	48
errno	LINUX_EFBIG	27	27	sys/compat/linux/linux_errno.h	62
errno	LINUX_EHOSTDOWN	112	112	sys/compat/linux/linux_errno.h	156
errno	LINUX_EHOSTUNREACH	113	113	sys/compat/linux/linux_errno.h	157
errno	LINUX_EHWPOISON	133	133	sys/compat/linux/linux_errno.h	179
errno	LINUX_EIDRM	43	43	sys/compat/linux/linux_errno.h	80
errno	LINUX_EILSEQ	84	84	sys/compat/linux/linux_errno.h	125
errno	LINUX_EINPROGRESS	115	115	sys/compat/linux/linux_errno.h	159
errno	LINUX_EINTR	4	4	sys/compat/linux/linux_errno.h	37
errno	LINUX_EINVAL	22	22	sys/compat/linux/linux_errno.h	57
errno	LINUX_EIO	5	5	sys/compat/linux/linux_errno.h	38
errno	LINUX_EISCONN	106	106	sys/compat/linux/linux_errno.h	149
errno	LINUX_EISDIR	21	21	sys/compat/linux/linux_errno.h	56
errno	LINUX_EISNAM	120	120	sys/compat/linux/linux_errno.h	165
errno	LINUX_EKEYEXPIRED	127	127	sys/compat/linux/linux_errno.h	172
errno	LINUX_EKEYREJECTED	129	129	sys/compat/linux/linux_errno.h	174
errno	LINUX_EKEYREVOKED	128	128	sys/compat/linux/linux_errno.h	173
errno	LINUX_EL2HLT	51	51	sys/compat/linux/linux_errno.h	89
errno	LINUX_EL2NSYNC	45	45	sys/compat/linux/linux_errno.h	82
errno	LINUX_EL3HLT	46	46	sys/compat/linux/linux_errno.h	83
errno	LINUX_EL3RST	47	47	sys/compat/linux/linux_errno.h	84
errno	LINUX_ELAST	LINUX_EHWPOISON	133	sys/compat/linux/linux_errno.h	181
errno	LINUX_ELIBACC	79	79	sys/compat/linux/linux_errno.h	119
errno	LINUX_ELIBBAD	80	80	sys/compat/linux/linux_errno.h	121
errno	LINUX_ELIBEXEC	83	83	sys/compat/linux/linux_errno.h	124
errno	LINUX_ELIBMAX	82	82	sys/compat/linux/linux_errno.h	123
errno	LINUX_ELIBSCN	81	81	sys/compat/linux/linux_errno.h	122
errno	LINUX_ELNRNG	48	48	sys/compat/linux/linux_errno.h	85
errno	LINUX_ELOOP	40	40	sys/compat/linux/linux_errno.h	77
errno	LINUX_EMEDIUMTYPE	124	124	sys/compat/linux/linux_errno.h	169
errno	LINUX_EMFILE	24	24	sys/compat/linux/linux_errno.h	59
errno	LINUX_EMLINK	31	31	sys/compat/linux/linux_errno.h	67
errno	LINUX_EMSGSIZE	90	90	sys/compat/linux/linux_errno.h	132
errno	LINUX_EMULTIHOP	72	72	sys/compat/linux/linux_errno.h	112
errno	LINUX_ENAMETOOLONG	36	36	sys/compat/linux/linux_errno.h	72
errno	LINUX_ENAVAIL	119	119	sys/compat/linux/linux_errno.h	163
errno	LINUX_ENETDOWN	100	100	sys/compat/linux/linux_errno.h	143
errno	LINUX_ENETRESET	102	102	sys/compat/linux/linux_errno.h	145
errno	LINUX_ENETUNREACH	101	101	sys/compat/linux/linux_errno.h	144
errno	LINUX_ENFILE	23	23	sys/compat/linux/linux_errno.h	58
errno	LINUX_ENOANO	55	55	sys/compat/linux/linux_errno.h	93
errno	LINUX_ENOBUFS	105	105	sys/compat/linux/linux_errno.h	148
errno	LINUX_ENOCSI	50	50	sys/compat/linux/linux_errno.h	88
errno	LINUX_ENODATA	61	61	sys/compat/linux/linux_errno.h	100
errno	LINUX_ENODEV	19	19	sys/compat/linux/linux_errno.h	53
errno	LINUX_ENOENT	2	2	sys/compat/linux/linux_errno.h	35
errno	LINUX_ENOEXEC	8	8	sys/compat/linux/linux_errno.h	41
errno	LINUX_ENOKEY	126	126	sys/compat/linux/linux_errno.h	171
errno	LINUX_ENOLCK	37	37	sys/compat/linux/linux_errno.h	73
errno	LINUX_ENOLINK	67	67	sys/compat/linux/linux_errno.h	106
errno	LINUX_ENOMEDIUM	123	123	sys/compat/linux/linux_errno.h	168
errno	LINUX_ENOMEM	12	12	sys/compat/linux/linux_errno.h	46
errno	LINUX_ENOMSG	42	42	sys/compat/linux/linux_errno.h	79
errno	LINUX_ENONET	64	64	sys/compat/linux/linux_errno.h	103
errno	LINUX_ENOPKG	65	65	sys/compat/linux/linux_errno.h	104
errno	LINUX_ENOPROTOOPT	92	92	sys/compat/linux/linux_errno.h	134
errno	LINUX_ENOSPC	28	28	sys/compat/linux/linux_errno.h	63
errno	LINUX_ENOSR	63	63	sys/compat/linux/linux_errno.h	102
errno	LINUX_ENOSTR	60	60	sys/compat/linux/linux_errno.h	99
errno	LINUX_ENOSYS	38	38	sys/compat/linux/linux_errno.h	74
errno	LINUX_ENOTBLK	15	15	sys/compat/linux/linux_errno.h	49
errno	LINUX_ENOTCONN	107	107	sys/compat/linux/linux_errno.h	150
errno	LINUX_ENOTDIR	20	20	sys/compat/linux/linux_errno.h	55
errno	LINUX_ENOTEMPTY	39	39	sys/compat/linux/linux_errno.h	75
errno	LINUX_ENOTIME	62	62	sys/compat/linux/linux_errno.h	101
errno	LINUX_ENOTNAM	118	118	sys/compat/linux/linux_errno.h	162
errno	LINUX_ENOTRECOVERABLE	131	131	sys/compat/linux/linux_errno.h	177
errno	LINUX_ENOTSOCK	88	88	sys/compat/linux/linux_errno.h	129
errno	LINUX_ENOTTY	25	25	sys/compat/linux/linux_errno.h	60
errno	LINUX_ENOTUNIQ	76	76	sys/compat/linux/linux_errno.h	116
errno	LINUX_ENXIO	6	6	sys/compat/linux/linux_errno.h	39
errno	LINUX_EOPNOTSUPPORT	95	95	sys/compat/linux/linux_errno.h	137
errno	LINUX_EOVERFLOW	75	75	sys/compat/linux/linux_errno.h	115
errno	LINUX_EOWNERDEAD	130	130	sys/compat/linux/linux_errno.h	176
errno	LINUX_EPERM	1	1	sys/compat/linux/linux_errno.h	34
errno	LINUX_EPFNOTSUPPORT	96	96	sys/compat/linux/linux_errno.h	138
errno	LINUX_EPIPE	32	32	sys/compat/linux/linux_errno.h	68
errno	LINUX_EPROTO	71	71	sys/compat/linux/linux_errno.h	111
errno	LINUX_EPROTONOTSUPPORT	93	93	sys/compat/linux/linux_errno.h	135
errno	LINUX_EPROTOTYPE	91	91	sys/compat/linux/linux_errno.h	133
errno	LINUX_ERANGE	34	34	sys/compat/linux/linux_errno.h	70
errno	LINUX_EREMCHG	78	78	sys/compat/linux/linux_errno.h	118
errno	LINUX_EREMOTE	66	66	sys/compat/linux/linux_errno.h	105
errno	LINUX_EREMOTEIO	121	121	sys/compat/linux/linux_errno.h	166
errno	LINUX_ERESTART	85	85	sys/compat/linux/linux_errno.h	126
errno	LINUX_ERESTARTSYS	512	512	sys/compat/linux/linux_errno.h	187
errno	LINUX_ERFKILL	132	132	sys/compat/linux/linux_errno.h	178
errno	LINUX_EROFS	30	30	sys/compat/linux/linux_errno.h	66
errno	LINUX_ESHUTDOWN	108	108	sys/compat/linux/linux_errno.h	151
errno	LINUX_ESOCKNOTSUPPORT	94	94	sys/compat/linux/linux_errno.h	136
errno	LINUX_ESPIPE	29	29	sys/compat/linux/linux_errno.h	64
errno	LINUX_ESRCH	3	3	sys/compat/linux/linux_errno.h	36
errno	LINUX_ESRMNT	69	69	sys/compat/linux/linux_errno.h	108
errno	LINUX_ESTALE	116	116	sys/compat/linux/linux_errno.h	160
errno	LINUX_ESTRPIPE	86	86	sys/compat/linux/linux_errno.h	127
errno	LINUX_ETIMEDOUT	110	110	sys/compat/linux/linux_errno.h	154
errno	LINUX_ETOOMANYREFS	109	109	sys/compat/linux/linux_errno.h	152
errno	LINUX_ETXTBSY	26	26	sys/compat/linux/linux_errno.h	61
errno	LINUX_EUCLEAN	117	117	sys/compat/linux/linux_errno.h	161
errno	LINUX_EUNATCH	49	49	sys/compat/linux/linux_errno.h	86
errno	LINUX_EUSERS	87	87	sys/compat/linux/linux_errno.h	128
errno	LINUX_EXDEV	18	18	sys/compat/linux/linux_errno.h	52
errno	LINUX_EXFULL	54	54	sys/compat/linux/linux_errno.h	92
mmap	LINUX_MADV_DODUMP	17	17	sys/compat/linux/linux_mmap.h	60
mmap	LINUX_MADV_DOFORK	11	11	sys/compat/linux/linux_mmap.h	54
mmap	LINUX_MADV_DONTDUMP	16	16	sys/compat/linux/linux_mmap.h	59
mmap	LINUX_MADV_DONTFORK	10	10	sys/compat/linux/linux_mmap.h	53
mmap	LINUX_MADV_DONTNEED	4	4	sys/compat/linux/linux_mmap.h	50
mmap	LINUX_MADV_FREE	8	8	sys/compat/linux/linux_mmap.h	51
mmap	LINUX_MADV_HUGEPAGE	14	14	sys/compat/linux/linux_mmap.h	57
mmap	LINUX_MADV_HWPOISON	100	100	sys/compat/linux/linux_mmap.h	63
mmap	LINUX_MADV_KEEPONFORK	19	19	sys/compat/linux/linux_mmap.h	62
mmap	LINUX_MADV_MERGEABLE	12	12	sys/compat/linux/linux_mmap.h	55
mmap	LINUX_MADV_NOHUGEPAGE	15	15	sys/compat/linux/linux_mmap.h	58
mmap	LINUX_MADV_NORMAL	0	0	sys/compat/linux/linux_mmap.h	46
mmap	LINUX_MADV_RANDOM	1	1	sys/compat/linux/linux_mmap.h	47
mmap	LINUX_MADV_REMOVE	9	9	sys/compat/linux/linux_mmap.h	52
mmap	LINUX_MADV_SEQUENTIAL	2	2	sys/compat/linux/linux_mmap.h	48
mmap	LINUX_MADV_SOFT_OFFLINE	101	101	sys/compat/linux/linux_mmap.h	64
mmap	LINUX_MADV_UNMERGEABLE	13	13	sys/compat/linux/linux_mmap.h	56
mmap	LINUX_MADV_WILLNEED	3	3	sys/compat/linux/linux_mmap.h	49
mmap	LINUX_MADV_WIPEONFORK	18	18	sys/compat/linux/linux_mmap.h	61
mmap	LINUX_MAP_32BIT	0x0040	64	sys/compat/linux/linux_mmap.h	40
mmap	LINUX_MAP_ANON	0x0020	32	sys/compat/linux/linux_mmap.h	39
mmap	LINUX_MAP_FIXED	0x0010	16	sys/compat/linux/linux_mmap.h	38
mmap	LINUX_MAP_GROWSDOWN	0x0100	256	sys/compat/linux/linux_mmap.h	41
mmap	LINUX_MAP_PRIVATE	0x0002	2	sys/compat/linux/linux_mmap.h	37
mmap	LINUX_MAP_SHARED	0x0001	1	sys/compat/linux/linux_mmap.h	36
mmap	LINUX_PROT_GROWSDOWN	0x01000000	16777216	sys/compat/linux/linux_mmap.h	43
mmap	LINUX_PROT_GROWSUP	0x02000000	33554432	sys/compat/linux/linux_mmap.h	44
open	LINUX_O_ACCMODE	000000003	3	sys/compat/linux/linux_file.h	76
open	LINUX_O_APPEND	000002000	1024	sys/compat/linux/linux_file.h	81
open	LINUX_O_ASYNC	000020000	8192	sys/compat/linux/linux_file.h	85
open	LINUX_O_CLOEXEC	002000000	524288	sys/compat/linux/linux_file.h	99
open	LINUX_O_CREAT	000000100	64	sys/compat/linux/linux_file.h	77
open	LINUX_O_DIRECT	000200000	65536	sys/arm64/linux/linux.h	123
open	LINUX_O_DIRECTORY	000040000	16384	sys/arm64/linux/linux.h	121
open	LINUX_O_EXCL	000000200	128	sys/compat/linux/linux_file.h	78
open	LINUX_O_LARGEFILE	000400000	131072	sys/arm64/linux/linux.h	124
open	LINUX_O_NDELAY	LINUX_O_NONBLOCK	2048	sys/compat/linux/linux_file.h	83
open	LINUX_O_NOATIME	001000000	262144	sys/compat/linux/linux_file.h	98
open	LINUX_O_NOCTTY	000000400	256	sys/compat/linux/linux_file.h	79
open	LINUX_O_NOFOLLOW	000100000	32768	sys/arm64/linux/linux.h	122
open	LINUX_O_NONBLOCK	000004000	2048	sys/compat/linux/linux_file.h	82
open	LINUX_O_PATH	010000000	2097152	sys/compat/linux/linux_file.h	100
open	LINUX_O_RDONLY	000000000	0	sys/compat/linux/linux_file.h	73
open	LINUX_O_RDWR	000000002	2	sys/compat/linux/linux_file.h	75
open	LINUX_O_SYNC	000010000	4096	sys/compat/linux/linux_file.h	84
open	LINUX_O_TRUNC	000001000	512	sys/compat/linux/linux_file.h	80
open	LINUX_O_WRONLY	000000001	1	sys/compat/linux/linux_file.h	74
signal	LINUX_SIGABRT	6	6	sys/compat/linux/linux.h	157
signal	LINUX_SIGALRM	14	14	sys/compat/linux/linux.h	166
signal	LINUX_SIGBUS	7	7	sys/compat/linux/linux.h	159
signal	LINUX_SIGCHLD	17	17	sys/compat/linux/linux.h	169
signal	LINUX_SIGCONT	18	18	sys/compat/linux/linux.h	170
signal	LINUX_SIGFPE	8	8	sys/compat/linux/linux.h	160
signal	LINUX_SIGHUP	1	1	sys/compat/linux/linux.h	152
signal	LINUX_SIGILL	4	4	sys/compat/linux/linux.h	155
signal	LINUX_SIGINT	2	2	sys/compat/linux/linux.h	153
signal	LINUX_SIGIO	29	29	sys/compat/linux/linux.h	181
signal	LINUX_SIGIOT	LINUX_SIGABRT	6	sys/compat/linux/linux.h	158
signal	LINUX_SIGKILL	9	9	sys/compat/linux/linux.h	161
signal	LINUX_SIGPIPE	13	13	sys/compat/linux/linux.h	165
signal	LINUX_SIGPOLL	LINUX_SIGIO	29	sys/compat/linux/linux.h	182
signal	LINUX_SIGPROF	27	27	sys/compat/linux/linux.h	179
signal	LINUX_SIGPWR	30	30	sys/compat/linux/linux.h	183
signal	LINUX_SIGQUIT	3	3	sys/compat/linux/linux.h	154
signal	LINUX_SIGRTMAX	64	64	sys/compat/linux/linux.h	187
signal	LINUX_SIGRTMIN	32	32	sys/compat/linux/linux.h	186
signal	LINUX_SIGSEGV	11	11	sys/compat/linux/linux.h	163
signal	LINUX_SIGSTKFLT	16	16	sys/compat/linux/linux.h	168
signal	LINUX_SIGSTOP	19	19	sys/compat/linux/linux.h	171
signal	LINUX_SIGSYS	31	31	sys/compat/linux/linux.h	184
signal	LINUX_SIGTBLSZ	31	31	sys/compat/linux/linux.h	185
signal	LINUX_SIGTERM	15	15	sys/compat/linux/linux.h	167
signal	LINUX_SIGTRAP	5	5	sys/compat/linux/linux.h	156
signal	LINUX_SIGTSTP	20	20	sys/compat/linux/linux.h	172
signal	LINUX_SIGTTIN	21	21	sys/compat/linux/linux.h	173
signal	LINUX_SIGTTOU	22	22	sys/compat/linux/linux.h	174
signal	LINUX_SIGURG	23	23	sys/compat/linux/linux.h	175
signal	LINUX_SIGUSR1	10	10	sys/compat/linux/linux.h	162
signal	LINUX_SIGUSR2	12	12	sys/compat/linux/linux.h	164
signal	LINUX_SIGVTALRM	26	26	sys/compat/linux/linux.h	178
signal	LINUX_SIGWINCH	28	28	sys/compat/linux/linux.h	180
signal	LINUX_SIGXCPU	24	24	sys/compat/linux/linux.h	176
signal	LINUX_SIGXFSZ	25	25	sys/compat/linux/linux.h	177
signal	LINUX_SIG_BLOCK	0	0	sys/compat/linux/linux.h	195
signal	LINUX_SIG_SETMASK	2	2	sys/compat/linux/linux.h	197
signal	LINUX_SIG_UNBLOCK	1	1	sys/compat/linux/linux.h	196
socket	LINUX_IPV6_2292DSTOPTS	4	4	sys/compat/linux/linux_socket.h	262
socket	LINUX_IPV6_2292HOPLIMIT	8	8	sys/compat/linux/linux_socket.h	266
socket	LINUX_IPV6_2292HOPOPTS	3	3	sys/compat/linux/linux_socket.h	261
socket	LINUX_IPV6_2292PKTINFO	2	2	sys/compat/linux/linux_socket.h	260
socket	LINUX_IPV6_2292PKTOPTIONS	6	6	sys/compat/linux/linux_socket.h	264
socket	LINUX_IPV6_2292RTHDR	5	5	sys/compat/linux/linux_socket.h	263
socket	LINUX_IPV6_ADDRFORM	1	1	sys/compat/linux/linux_socket.h	259
socket	LINUX_IPV6_ADDR_PREFERENCES	72	72	sys/compat/linux/linux_socket.h	310
socket	LINUX_IPV6_ADD_MEMBERSHIP	20	20	sys/compat/linux/linux_socket.h	275
socket	LINUX_IPV6_AUTHHDR	10	10	sys/compat/linux/linux_socket.h	268
socket	LINUX_IPV6_AUTOFLOWLABEL	70	70	sys/compat/linux/linux_socket.h	309
socket	LINUX_IPV6_CHECKSUM	7	7	sys/compat/linux/linux_socket.h	265
socket	LINUX_IPV6_DONTFRAG	62	62	sys/compat/linux/linux_socket.h	307
socket	LINUX_IPV6_DROP_MEMBERSHIP	21	21	sys/compat/linux/linux_socket.h	276
socket	LINUX_IPV6_DSTOPTS	59	59	sys/compat/linux/linux_socket.h	304
socket	LINUX_IPV6_FLOWINFO	11	11	sys/compat/linux/linux_socket.h	269
socket	LINUX_IPV6_FLOWINFO_SEND	33	33	sys/compat/linux/linux_socket.h	288
socket	LINUX_IPV6_FLOWLABEL_MGR	32	32	sys/compat/linux/linux_socket.h	287
socket	LINUX_IPV6_FREEBIND	78	78	sys/compat/linux/linux_socket.h	316
socket	LINUX_IPV6_HDRINCL	36	36	sys/compat/linux/linux_socket.h	292
socket	LINUX_IPV6_HOPLIMIT	52	52	sys/compat/linux/linux_socket.h	297
socket	LINUX_IPV6_HOPOPTS	54	54	sys/compat/linux/linux_socket.h	299
socket	LINUX_IPV6_IPSEC_POLICY	34	34	sys/compat/linux/linux_socket.h	290
socket	LINUX_IPV6_JOIN_ANYCAST	27	27	sys/compat/linux/linux_socket.h	282
socket	LINUX_IPV6_LEAVE_ANYCAST	28	28	sys/compat/linux/linux_socket.h	283
socket	LINUX_IPV6_MINHOPCOUNT	73	73	sys/compat/linux/linux_socket.h	311
socket	LINUX_IPV6_MTU	24	24	sys/compat/linux/linux_socket.h	279
socket	LINUX_IPV6_MTU_DISCOVER	23	23	sys/compat/linux/linux_socket.h	278
socket	LINUX_IPV6_MULTICAST_ALL	29	29	sys/compat/linux/linux_socket.h	284
socket	LINUX_IPV6_MULTICAST_HOPS	18	18	sys/compat/linux/linux_socket.h	273
socket	LINUX_IPV6_MULTICAST_IF	17	17	sys/compat/linux/linux_socket.h	272
socket	LINUX_IPV6_MULTICAST_LOOP	19	19	sys/compat/linux/linux_socket.h	274
socket	LINUX_IPV6_NEXTHOP	9	9	sys/compat/linux/linux_socket.h	267
socket	LINUX_IPV6_ORIGDSTADDR	74	74	sys/compat/linux/linux_socket.h	312
