direction	source_name	target_name	source	line
freebsd-to-linux	SIGHUP	LINUX_SIGHUP	sys/compat/linux/linux.c	58
freebsd-to-linux	SIGINT	LINUX_SIGINT	sys/compat/linux/linux.c	59
freebsd-to-linux	SIGQUIT	LINUX_SIGQUIT	sys/compat/linux/linux.c	60
freebsd-to-linux	SIGILL	LINUX_SIGILL	sys/compat/linux/linux.c	61
freebsd-to-linux	SIGTRAP	LINUX_SIGTRAP	sys/compat/linux/linux.c	62
freebsd-to-linux	SIGABRT	LINUX_SIGABRT	sys/compat/linux/linux.c	63
freebsd-to-linux	SIGFPE	LINUX_SIGFPE	sys/compat/linux/linux.c	65
freebsd-to-linux	SIGKILL	LINUX_SIGKILL	sys/compat/linux/linux.c	66
freebsd-to-linux	SIGBUS	LINUX_SIGBUS	sys/compat/linux/linux.c	67
freebsd-to-linux	SIGSEGV	LINUX_SIGSEGV	sys/compat/linux/linux.c	68
freebsd-to-linux	SIGSYS	LINUX_SIGSYS	sys/compat/linux/linux.c	69
freebsd-to-linux	SIGPIPE	LINUX_SIGPIPE	sys/compat/linux/linux.c	70
freebsd-to-linux	SIGALRM	LINUX_SIGALRM	sys/compat/linux/linux.c	71
freebsd-to-linux	SIGTERM	LINUX_SIGTERM	sys/compat/linux/linux.c	72
freebsd-to-linux	SIGURG	LINUX_SIGURG	sys/compat/linux/linux.c	73
freebsd-to-linux	SIGSTOP	LINUX_SIGSTOP	sys/compat/linux/linux.c	74
freebsd-to-linux	SIGTSTP	LINUX_SIGTSTP	sys/compat/linux/linux.c	75
freebsd-to-linux	SIGCONT	LINUX_SIGCONT	sys/compat/linux/linux.c	76
freebsd-to-linux	SIGCHLD	LINUX_SIGCHLD	sys/compat/linux/linux.c	77
freebsd-to-linux	SIGTTIN	LINUX_SIGTTIN	sys/compat/linux/linux.c	78
freebsd-to-linux	SIGTTOU	LINUX_SIGTTOU	sys/compat/linux/linux.c	79
freebsd-to-linux	SIGIO	LINUX_SIGIO	sys/compat/linux/linux.c	80
freebsd-to-linux	SIGXCPU	LINUX_SIGXCPU	sys/compat/linux/linux.c	81
freebsd-to-linux	SIGXFSZ	LINUX_SIGXFSZ	sys/compat/linux/linux.c	82
freebsd-to-linux	SIGVTALRM	LINUX_SIGVTALRM	sys/compat/linux/linux.c	83
freebsd-to-linux	SIGPROF	LINUX_SIGPROF	sys/compat/linux/linux.c	84
freebsd-to-linux	SIGWINCH	LINUX_SIGWINCH	sys/compat/linux/linux.c	85
freebsd-to-linux	SIGUSR1	LINUX_SIGUSR1	sys/compat/linux/linux.c	87
freebsd-to-linux	SIGUSR2	LINUX_SIGUSR2	sys/compat/linux/linux.c	88
linux-to-freebsd	LINUX_SIGHUP	SIGHUP	sys/compat/linux/linux.c	94
linux-to-freebsd	LINUX_SIGINT	SIGINT	sys/compat/linux/linux.c	95
linux-to-freebsd	LINUX_SIGQUIT	SIGQUIT	sys/compat/linux/linux.c	96
linux-to-freebsd	LINUX_SIGILL	SIGILL	sys/compat/linux/linux.c	97
linux-to-freebsd	LINUX_SIGTRAP	SIGTRAP	sys/compat/linux/linux.c	98
linux-to-freebsd	LINUX_SIGABRT	SIGABRT	sys/compat/linux/linux.c	99
linux-to-freebsd	LINUX_SIGBUS	SIGBUS	sys/compat/linux/linux.c	100
linux-to-freebsd	LINUX_SIGFPE	SIGFPE	sys/compat/linux/linux.c	101
linux-to-freebsd	LINUX_SIGKILL	SIGKILL	sys/compat/linux/linux.c	102
linux-to-freebsd	LINUX_SIGUSR1	SIGUSR1	sys/compat/linux/linux.c	103
linux-to-freebsd	LINUX_SIGSEGV	SIGSEGV	sys/compat/linux/linux.c	104
linux-to-freebsd	LINUX_SIGUSR2	SIGUSR2	sys/compat/linux/linux.c	105
linux-to-freebsd	LINUX_SIGPIPE	SIGPIPE	sys/compat/linux/linux.c	106
linux-to-freebsd	LINUX_SIGALRM	SIGALRM	sys/compat/linux/linux.c	107
linux-to-freebsd	LINUX_SIGTERM	SIGTERM	sys/compat/linux/linux.c	108
linux-to-freebsd	LINUX_SIGSTKFLT	SIGBUS	sys/compat/linux/linux.c	109
linux-to-freebsd	LINUX_SIGCHLD	SIGCHLD	sys/compat/linux/linux.c	110
linux-to-freebsd	LINUX_SIGCONT	SIGCONT	sys/compat/linux/linux.c	111
linux-to-freebsd	LINUX_SIGSTOP	SIGSTOP	sys/compat/linux/linux.c	112
linux-to-freebsd	LINUX_SIGTSTP	SIGTSTP	sys/compat/linux/linux.c	113
linux-to-freebsd	LINUX_SIGTTIN	SIGTTIN	sys/compat/linux/linux.c	114
linux-to-freebsd	LINUX_SIGTTOU	SIGTTOU	sys/compat/linux/linux.c	115
linux-to-freebsd	LINUX_SIGURG	SIGURG	sys/compat/linux/linux.c	116
linux-to-freebsd	LINUX_SIGXCPU	SIGXCPU	sys/compat/linux/linux.c	117
linux-to-freebsd	LINUX_SIGXFSZ	SIGXFSZ	sys/compat/linux/linux.c	118
linux-to-freebsd	LINUX_SIGVTALARM	SIGVTALRM	sys/compat/linux/linux.c	119
linux-to-freebsd	LINUX_SIGPROF	SIGPROF	sys/compat/linux/linux.c	120
linux-to-freebsd	LINUX_SIGWINCH	SIGWINCH	sys/compat/linux/linux.c	121
linux-to-freebsd	LINUX_SIGIO	SIGIO	sys/compat/linux/linux.c	122
linux-to-freebsd	LINUX_SIGPWR	LINUX_SIGPWREMU	sys/compat/linux/linux.c	128
linux-to-freebsd	LINUX_SIGSYS	SIGSYS	sys/compat/linux/linux.c	129
