domain	symbol	role	reuse	source	line
arm64-personality	linux_exec_setregs	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	168
arm64-personality	linux_exec_sysvec_init	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	488
arm64-personality	linux_fetch_syscall_args	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	112
arm64-personality	linux_on_exec_vmspace	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	472
arm64-personality	linux_parse_sigreturn_ctx	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	193
arm64-personality	linux_rt_sendsig	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	298
arm64-personality	linux_rt_sigreturn	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	253
arm64-personality	linux_set_syscall_retval	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	140
arm64-personality	linux_vdso_deinstall	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	528
arm64-personality	linux_vdso_install	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	506
arm64-personality	linux_vdso_reloc	helper	semantics-only-freebsd-kernel-coupled	sys/arm64/linux/linux_sysvec.c	538
common	bsd_to_linux_poll_events	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	591
common	linux_dev_shm_create	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	440
common	linux_dev_shm_destroy	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	453
common	linux_to_bsd_poll_events	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux.c	536
errno	bsd_to_linux_errno	converter	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_errno.c	11
errno	linux_check_errtbl	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_errno.c	22
event	linux_epoll_create	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	112
event	linux_epoll_create1	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	127
event	linux_epoll_ctl	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	283
event	linux_epoll_pwait	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	465
event	linux_epoll_pwait2	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	505
event	linux_epoll_pwait2_64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	481
event	linux_epoll_wait	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	456
event	linux_epoll_wait_common	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	432
event	linux_epoll_wait_ts	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	370
event	linux_eventfd	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	577
event	linux_eventfd2	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	588
event	linux_timerfd_create	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	611
event	linux_timerfd_gettime	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	629
event	linux_timerfd_gettime64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	674
event	linux_timerfd_settime	syscall-handler	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	647
event	linux_timerfd_settime64	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_event.c	692
futex	linux_futex	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_futex.c	194
futex	linux_futex_lock_pi	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_futex.c	357
futex	linux_futex_requeue	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_futex.c	672
futex	linux_futex_unlock_pi	helper	semantics-only-freebsd-kernel-coupled	sys/compat/linux/linux_futex.c	570
